"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_sec_biogas","conversion_factor_sec_elec","ef_sec_biogas_emi_co2_f_pow"
89,"CZ",2020,"pow_combustion_ic_biogas_04",351.329370589597,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.sec_biogas"
90,"CZ",2021,"pow_combustion_ic_biogas_04",351.329370589597,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.sec_biogas"
91,"CZ",2024,"pow_combustion_ic_biogas_04",350.927370589597,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.sec_biogas"
92,"CZ",2027,"pow_combustion_ic_biogas_04",350.087370589597,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.sec_biogas"
93,"CZ",2030,"pow_combustion_ic_biogas_04",330.99261658471,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.sec_biogas"
94,"CZ",2035,"pow_combustion_ic_biogas_04",248.317019318751,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.sec_biogas"
95,"CZ",2040,"pow_combustion_ic_biogas_04",13.238340187183,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.sec_biogas"
96,"CZ",2045,"pow_combustion_ic_biogas_04",13.238340187183,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.sec_biogas"
97,"CZ",2050,"pow_combustion_ic_biogas_04",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biogas"
98,"CZ",2060,"pow_combustion_ic_biogas_04",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biogas"
99,"CZ",2070,"pow_combustion_ic_biogas_04",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biogas"
100,"DE",2020,"pow_combustion_cc_biogas_03",0.125,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,1.0,"global_emission_factors.sec_biogas"
101,"DE",2021,"pow_combustion_cc_biogas_03",0.125,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,1.0,"global_emission_factors.sec_biogas"
102,"DE",2024,"pow_combustion_cc_biogas_03",0.125,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,1.0,"global_emission_factors.sec_biogas"
103,"DE",2027,"pow_combustion_cc_biogas_03",0.125,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,1.0,"global_emission_factors.sec_biogas"
104,"DE",2030,"pow_combustion_cc_biogas_03",0.125,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,1.0,"global_emission_factors.sec_biogas"
105,"DE",2035,"pow_combustion_cc_biogas_03",0.125,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,1.0,"global_emission_factors.sec_biogas"
106,"DE",2040,"pow_combustion_cc_biogas_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biogas"
107,"DE",2045,"pow_combustion_cc_biogas_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biogas"
108,"DE",2050,"pow_combustion_cc_biogas_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biogas"
109,"DE",2060,"pow_combustion_cc_biogas_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biogas"
110,"DE",2070,"pow_combustion_cc_biogas_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biogas"
111,"DE",2020,"pow_combustion_fc_biogas_02",9.75525,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,1.0,"global_emission_factors.sec_biogas"
112,"DE",2021,"pow_combustion_fc_biogas_02",9.75525,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,1.0,"global_emission_factors.sec_biogas"
113,"DE",2024,"pow_combustion_fc_biogas_02",9.75525,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,1.0,"global_emission_factors.sec_biogas"
114,"DE",2027,"pow_combustion_fc_biogas_02",9.63325,0.0,0.0,30502.37674657,555181.777307992,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,1.0,"global_emission_factors.sec_biogas"
