"id","region","year","type","availability_constant","efficiency","cost_fix_p","cost_inv_p","lifetime","conversion_factor_me1_space_heating","conversion_factor_me1_hot_water","conversion_factor_me1_space_cooling","flow_share_fix_me1_space_heating","flow_share_fix_me1_hot_water","flow_share_fix_me1_space_cooling","flow_share_fix_sec_elec","flow_share_fix_pri_solar_radiation","flow_share_fix_pri_envir_heat","flow_share_fix_pri_geoth_heat","flow_share_fix_pri_natural_gas","flow_share_fix_sec_heating_oil","starting_year","bandwidth_type","version","method","source","comment"
82,"DE",2020,"hea_hh_me1_heater_et_boil_mono_1",1.0,1.0,3.433002482,114.4334161,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
83,"DE",2025,"hea_hh_me1_heater_et_boil_mono_1",1.0,1.0,3.630107284,121.0035761,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
84,"DE",2030,"hea_hh_me1_heater_et_boil_mono_1",1.0,1.0,3.803293361,126.7764454,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
85,"DE",2035,"hea_hh_me1_heater_et_boil_mono_1",1.0,1.0,3.928861388,130.9620463,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
86,"DE",2040,"hea_hh_me1_heater_et_boil_mono_1",1.0,1.0,4.0390098,134.63366,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
87,"DE",2045,"hea_hh_me1_heater_et_boil_mono_1",1.0,1.0,4.067038027,135.5679342,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
88,"DE",2050,"hea_hh_me1_heater_et_boil_mono_1",1.0,1.0,4.073180305,135.7726768,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
89,"DE",2060,"hea_hh_me1_heater_et_boil_mono_1",1.0,1.0,4.073180305,135.7726768,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
90,"DE",2070,"hea_hh_me1_heater_et_boil_mono_1",1.0,1.0,4.073180305,135.7726768,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
91,"DE",2015,"hea_hh_me1_heater_hp_air_1",1.0,0.0,17.24840198,689.9360794,15.0,0.915151515,0.0,2.98,0.6,0.0,0.4,0.0,0.0,0.578526813,0.0,0.0,0.0,2015.0,"","","","",""
