"id","region","year","type","availability_constant","efficiency","cost_fix_p","cost_inv_p","lifetime","conversion_factor_ue1_space_heating","conversion_factor_ue1_hot_water","conversion_factor_ue1_space_cooling","flow_share_fix_ue1_space_heating","flow_share_fix_ue1_hot_water","flow_share_fix_ue1_space_cooling","flow_share_fix_sec_elec","flow_share_fix_pri_solar_radiation","flow_share_fix_pri_envir_heat","flow_share_fix_pri_geoth_heat","flow_share_fix_pri_natural_gas","flow_share_fix_sec_heating_oil","starting_year","bandwidth_type","version","method","source","comment"
90,"DE",2070,"hea_hh_ue1_heater_et_boil_mono_1",1.0,1.0,5.37256583,179.0855277,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
91,"DE",2015,"hea_hh_ue1_heater_hp_air_1",1.0,0.0,22.81573328,912.6293311,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.578526813,0.0,0.0,0.0,2015.0,"","","","",""
92,"DE",2020,"hea_hh_ue1_heater_hp_air_1",1.0,0.0,23.98410975,959.36439,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.578526813,0.0,0.0,0.0,2015.0,"","","","",""
93,"DE",2025,"hea_hh_ue1_heater_hp_air_1",1.0,0.0,24.9052471,996.209884,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.578526813,0.0,0.0,0.0,2015.0,"","","","",""
94,"DE",2030,"hea_hh_ue1_heater_hp_air_1",1.0,0.0,26.40936182,1056.374473,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.578526813,0.0,0.0,0.0,2015.0,"","","","",""
95,"DE",2035,"hea_hh_ue1_heater_hp_air_1",1.0,0.0,27.01619418,1080.647767,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.578526813,0.0,0.0,0.0,2015.0,"","","","",""
96,"DE",2040,"hea_hh_ue1_heater_hp_air_1",1.0,0.0,27.47144809,1098.857924,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.578526813,0.0,0.0,0.0,2015.0,"","","","",""
97,"DE",2045,"hea_hh_ue1_heater_hp_air_1",1.0,0.0,27.47144809,1098.857924,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.578526813,0.0,0.0,0.0,2015.0,"","","","",""
98,"DE",2050,"hea_hh_ue1_heater_hp_air_1",1.0,0.0,27.47144809,1098.857924,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.578526813,0.0,0.0,0.0,2015.0,"","","","",""
99,"DE",2060,"hea_hh_ue1_heater_hp_air_1",1.0,0.0,27.47144809,1098.857924,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.578526813,0.0,0.0,0.0,2015.0,"","","","",""
100,"DE",2070,"hea_hh_ue1_heater_hp_air_1",1.0,0.0,27.47144809,1098.857924,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.578526813,0.0,0.0,0.0,2015.0,"","","","",""
101,"DE",2015,"hea_hh_ue1_heater_hp_dual_air_1",1.0,1.0,24.88989085,995.595634,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,2015.0,"","","","",""
102,"DE",2020,"hea_hh_ue1_heater_hp_dual_air_1",1.0,1.0,26.16448336,1046.579335,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,2015.0,"","","","",""
103,"DE",2025,"hea_hh_ue1_heater_hp_dual_air_1",1.0,1.0,27.86601074,1114.64043,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,2015.0,"","","","",""
104,"DE",2030,"hea_hh_ue1_heater_hp_dual_air_1",1.0,1.0,29.80366852,1192.146741,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,2015.0,"","","","",""
105,"DE",2035,"hea_hh_ue1_heater_hp_dual_air_1",1.0,1.0,30.84301238,1233.720495,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,2015.0,"","","","",""
